hour,el_hh_norm
3005,4.40018E-05
3006,5.29218E-05
3007,9.38847E-05
3008,0.000130139
3009,0.000137964
3010,0.000134617
3011,0.000129324
3012,0.000131324
3013,0.000146186
3014,0.00014281
3015,0.000124871
3016,0.000112561
3017,0.000109008
3018,0.000123102
3019,0.000152085
3020,0.000175786
3021,0.000168331
3022,0.000151828
3023,0.000132375
3024,9.95608E-05
3025,6.61791E-05
3026,4.90404E-05
3027,4.45376E-05
3028,4.28507E-05
3029,4.40018E-05
3030,5.29218E-05
3031,9.38847E-05
3032,0.000130139
3033,0.000137964
3034,0.000134617
3035,0.000129324
3036,0.000131324
3037,0.000146186
3038,0.00014281
3039,0.000124871
3040,0.000112561
3041,0.000109008
3042,0.000123102
3043,0.000152085
3044,0.000175786
3045,0.000168331
3046,0.000151828
3047,0.000132375
3048,9.95608E-05
3049,6.61791E-05
3050,4.90404E-05
3051,4.45376E-05
3052,4.28507E-05
3053,4.40018E-05
3054,5.29218E-05
3055,9.38847E-05
3056,0.000130139
3057,0.000137964
3058,0.000134617
3059,0.000129324
3060,0.000131324
3061,0.000146186
3062,0.00014281
3063,0.000124871
3064,0.000112561
3065,0.000109008
3066,0.000123102
3067,0.000152085
3068,0.000175786
3069,0.000168331
3070,0.000151828
3071,0.000132375
3072,9.95608E-05
3073,6.72546E-05
3074,5.22927E-05
3075,4.24385E-05
3076,4.02123E-05
3077,3.97853E-05
3078,4.12205E-05
3079,5.28481E-05
3080,8.08786E-05
3081,0.000113942
3082,0.000135073
3083,0.00014353
3084,0.000150164
3085,0.000159882
3086,0.000156648
3087,0.000142403
3088,0.000133027
3089,0.000131638
3090,0.000147821
3091,0.000169143
3092,0.000177885
3093,0.000158516
3094,0.000131227
3095,0.000123459
3096,0.000103999
3097,8.16892E-05
3098,5.9974E-05
3099,4.80702E-05
3100,4.40445E-05
3101,4.26794E-05
3102,4.23006E-05
3103,4.46762E-05
3104,5.98584E-05
3105,0.00010109
3106,0.000148531
3107,0.000177053
3108,0.000199165
3109,0.000202503
3110,0.000167798
3111,0.000135093
3112,0.000117418
3113,0.000104615
3114,0.000112786
3115,0.000136812
3116,0.000159035
3117,0.000153958
3118,0.000139405
3119,0.000123922
3120,9.28112E-05
3121,6.61791E-05
3122,4.90404E-05
3123,4.45376E-05
3124,4.28507E-05
3125,4.40018E-05
3126,5.29218E-05
3127,9.38847E-05
3128,0.000130139
3129,0.000137964
3130,0.000134617
3131,0.000129324
3132,0.000131324
3133,0.000146186
3134,0.00014281
3135,0.000124871
3136,0.000112561
3137,0.000109008
3138,0.000123102
3139,0.000152085
3140,0.000175786
3141,0.000168331
3142,0.000151828
3143,0.000132375
3144,9.95608E-05
3145,6.61791E-05
3146,4.90404E-05
3147,4.45376E-05
3148,4.28507E-05
3149,4.40018E-05
3150,5.29218E-05
3151,9.38847E-05
3152,0.000130139
3153,0.000137964
3154,0.000134617
3155,0.000129324
3156,0.000131324
3157,0.000146186
3158,0.00014281
3159,0.000124871
3160,0.000112561
3161,0.000109008
3162,0.000123102
3163,0.000152085
3164,0.000175786
3165,0.000168331
3166,0.000151828
3167,0.000132375
3168,9.95608E-05
3169,6.61791E-05
3170,4.90404E-05
3171,4.45376E-05
3172,4.28507E-05
3173,4.40018E-05
3174,5.29218E-05
3175,9.38847E-05
3176,0.000130139
3177,0.000137964
3178,0.000134617
3179,0.000129324
3180,0.000131324
3181,0.000146186
3182,0.00014281
3183,0.000124871
3184,0.000112561
3185,0.000109008
3186,0.000123102
3187,0.000152085
3188,0.000175786
3189,0.000168331
3190,0.000151828
3191,0.000132375
3192,9.95608E-05
3193,6.61791E-05
3194,4.90404E-05
3195,4.45376E-05
3196,4.28507E-05
3197,4.40018E-05
3198,5.29218E-05
3199,9.38847E-05
3200,0.000130139
3201,0.000137964
3202,0.000134617
3203,0.000129324
3204,0.000131324
3205,0.000146186
3206,0.00014281
3207,0.000124871
3208,0.000112561
3209,0.000109008
3210,0.000123102
3211,0.000152085
3212,0.000175786
3213,0.000168331
3214,0.000151828
3215,0.000132375
3216,9.95608E-05
3217,6.61791E-05
3218,4.90404E-05
3219,4.45376E-05
3220,4.28507E-05
3221,4.40018E-05
3222,5.29218E-05
3223,9.38847E-05
3224,0.000130139
3225,0.000137964
3226,0.000134617
3227,0.000129324
3228,0.000131324
3229,0.000146186
3230,0.00014281
3231,0.000124871
3232,0.000112561
3233,0.000109008
3234,0.000123102
3235,0.000152085
3236,0.000175786
3237,0.000168331
3238,0.000151828
3239,0.000132375
3240,9.95608E-05
3241,6.72546E-05
3242,5.22927E-05
3243,4.24385E-05
3244,4.02123E-05
3245,3.97853E-05
3246,4.12205E-05
3247,5.28481E-05
3248,8.08786E-05
3249,0.000113942
3250,0.000135073
3251,0.00014353
3252,0.000150164
3253,0.000159882
3254,0.000156648
3255,0.000142403
3256,0.000133027
3257,0.000131638
3258,0.000147821
3259,0.000169143
3260,0.000177885
3261,0.000158516
3262,0.000131227
3263,0.000123459
3264,0.000103999
3265,8.16892E-05
3266,5.9974E-05
3267,4.80702E-05
3268,4.40445E-05
3269,4.26794E-05
3270,4.23006E-05
3271,4.46762E-05
3272,5.98584E-05
3273,0.00010109
3274,0.000148531
3275,0.000177053
3276,0.000199165
3277,0.000202503
3278,0.000167798
3279,0.000135093
3280,0.000117418
3281,0.000104615
3282,0.000112786
3283,0.000136812
3284,0.000159035
3285,0.000153958
3286,0.000139405
3287,0.000123922
3288,9.28112E-05
3289,6.61791E-05
3290,4.90404E-05
3291,4.45376E-05
3292,4.28507E-05
3293,4.40018E-05
3294,5.29218E-05
3295,9.38847E-05
3296,0.000130139
3297,0.000137964
3298,0.000134617
3299,0.000129324
3300,0.000131324
3301,0.000146186
3302,0.00014281
3303,0.000124871
3304,0.000112561
3305,0.000109008
3306,0.000123102
3307,0.000152085
3308,0.000175786
3309,0.000168331
3310,0.000151828
3311,0.000132375
3312,9.95608E-05
3313,6.61791E-05
3314,4.90404E-05
3315,4.45376E-05
3316,4.28507E-05
3317,4.40018E-05
3318,5.29218E-05
3319,9.38847E-05
3320,0.000130139
3321,0.000137964
3322,0.000134617
3323,0.000129324
3324,0.000131324
3325,0.000146186
3326,0.00014281
3327,0.000124871
3328,0.000112561
3329,0.000109008
3330,0.000123102
3331,0.000152085
3332,0.000175786
3333,0.000168331
3334,0.000151828
3335,0.000132375
3336,9.95608E-05
3337,6.61791E-05
3338,4.90404E-05
3339,4.45376E-05
